Key,File,Type,UsedInMainMenu,NoTranslate,english
buffAppleCiderFMDesc,buffs,Buff,,,"Your melee attacks do more damage and you have a slight resistance to colder environments."
buffAppleCiderFMName,buffs,Buff,,,"Apple Powah!"
buffAppleJuiceFMDesc,buffs,Buff,,,"Apple juice will give you a slight resistance to colder environments."
buffAppleJuiceFMName,buffs,Buff,,,"Apple Juice Warming"
buffBangerFMDesc,buffs,Buff,,,"Your shotgun will become a real banger and do extra damage, especially to heads."
buffBangerFMName,buffs,Buff,,,"The Banger"
buffBloodyMaryFMDesc,buffs,Buff,,,"Bloody Mary slows your blood flow, preventing bleed damage and heightening your pain tolerance."
buffBloodyMaryFMName,buffs,Buff,,,"Slow Bloodflow"
buffBlueberryJuiceFMDesc,buffs,Buff,,,"Blueberry juice will give you a slight resistance to hotter environments."
buffBlueberryJuiceFMName,buffs,Buff,,,"Blueberry Juice Cooling"
buffCatlikeReflexesFMDesc,buffs,Buff,,,"Your sneaking and jumping skills are much improved for a while. You deal extra damage whilst concealed, too."
buffCatlikeReflexesFMName,buffs,Buff,,,"Catlike Reflexes"
buffDetoxFMDesc,buffs,Buff,,,"Your suffering from dysentery, stomach cramps or food poisoning will be coming to an end very soon."
buffDetoxFMName,buffs,Buff,,,"Detoxification"
buffDoglikeAggressionFMDesc,buffs,Buff,,,"Whilst wearing knuckle weapons (or having nothing equipped at all in your hands), you move much faster and can rip enemies apart with brawling skills."
buffDoglikeAggressionFMName,buffs,Buff,,,"Doglike Aggression"
buffGummyPowerBlackFMDesc,buffs,Buff,,,"Your gummy brain kicks into action when trading, allowing you to barter with the best of them."
buffGummyPowerBlackFMName,buffs,Buff,,,"Gummy Power: Black"
buffGummyPowerBlueFMDesc,buffs,Buff,,,"Your gummy hands allow you to maintain a better hold on your items, allowing you to craft faster."
buffGummyPowerBlueFMName,buffs,Buff,,,"Gummy Power: Blue"
buffGummyPowerRedFMDesc,buffs,Buff,,,"Your gummy eyes see red, allowing you to decapitate your foes much more easily."
buffGummyPowerRedFMName,buffs,Buff,,,"Gummy Power: Red"
buffHealthRegenFMDesc,buffs,Buff,,,"Your health recovery is greatly increased from the power of the spicy hash."
buffHealthRegenFMName,buffs,Buff,,,"Health Regen"
buffHeartyMealFMDesc,buffs,Buff,,,"A filling meal like that will keep you healthy as a horse for a while."
buffHeartyMealFMName,buffs,Buff,,,"A Hearty Meal"
buffHotMealFMDesc,buffs,Buff,,,"Warm food helps shake off the cold weather just a little."
buffHotMealFMName,buffs,Buff,,,"A Nice Hot Meal"
buffHuntersEyeFMDesc,buffs,Buff,,,"You will get more produce from animal harvesting for a while."
buffHuntersEyeFMName,buffs,Buff,,,"Hunter's Eye"
buffIceVeinsFMDesc,buffs,Buff,,,"Your resistance to both cold weather and physical damage has increased for a short time."
buffIceVeinsFMName,buffs,Buff,,,"Veins of Ice"
buffIllStomachCrampsFMDesc,buffs,Buff,,,"Eating bad food has given you stomach cramps. You will recover less stamina and move more slowly than usual."
buffIllStomachCrampsFMName,buffs,Buff,,,"Stomach Cramps"
buffJunkHeadFMDesc,buffs,Buff,,,"Your brain works as well as your butt for a short time. You can operate one additional junk turret and from a further distance."
buffJunkHeadFMName,buffs,Buff,,,"Junk Head"
buffKeenEyesFMDesc,buffs,Buff,,,"Your aiming and general gun handling is improved for a while."
buffKeenEyesFMName,buffs,Buff,,,"Keen Eyes"
buffKnockdownFMDesc,buffs,Buff,,,"Attacks with melee weapons have a high chance to knock enemies down."
buffKnockdownFMName,buffs,Buff,,,"Brutal Battering"
buffLifeStealFMDesc,buffs,Buff,,,"Attacks with bladed weapons recover your health and stamina."
buffLifeStealFMName,buffs,Buff,,,"Life Steal"
buffLightFingersFMDesc,buffs,Buff,,,"You are better at handling lockpicks for a while."
buffLightFingersFMName,buffs,Buff,,,"Light Fingers"
buffLionHeartFMDesc,buffs,Buff,,,"Nothing keeps you down. As the odds stack ever against you, fight back harder with more damage."
buffLionHeartFMName,buffs,Buff,,,"Heart of the Lion"
buffMeleeSpeedFMDesc,buffs,Buff,,,"Your speed with all melee weapons is increased for a short time. HULK SMASH!"
buffMeleeSpeedFMName,buffs,Buff,,,"Melee Speed"
buffMilkFMDesc,buffs,Buff,,,"A nice carton of milk is perfect for those who need a little more stamina."
buffMilkFMName,buffs,Buff,,,"The White Stuff"
buffPricklyGutsFMDesc,buffs,Buff,,,"Uh oh, it looks like you've gotten a spine stuck in your gut. You will lose food and water more rapidly and may throw up or have a poop attack in extreme cases."
buffPricklyGutsFMName,buffs,Buff,,,"Prickly Guts"
buffPricklyPearReserveFMDesc,buffs,Buff,,,"The stench is so potent that all who dare approach you will be slowed to a crawl."
buffPricklyPearReserveFMName,buffs,Buff,,,"Drunken Stench"
buffQuickHandsFMDesc,buffs,Buff,,,"Increased concentration allows you to reload your weapons faster for a while."
buffQuickHandsFMName,buffs,Buff,,,"Quick Hands"
buffQuickLearnerFMDesc,buffs,Buff,,,"That brain food you just ate grants you a 20% XP bonus for a short time."
buffQuickLearnerFMName,buffs,Buff,,,"Brain Power"
buffRefreshingMealFMDesc,buffs,Buff,,,"Cool food helps shake off the cold weather just a little."
buffRefreshingMealFMName,buffs,Buff,,,"A Nice Refreshing Meal"
buffSoyaMilkFMDesc,buffs,Buff,,,"Soya milk is great for your insides and you will regenerate stamina and health a little faster."
buffSoyaMilkFMName,buffs,Buff,,,"The White-ish Stuff"
buffStrongArmsFMDesc,buffs,Buff,,,"Energy rushing to your muscles helps you deal extra entity and block damage with melee weapons."
buffStrongArmsFMName,buffs,Buff,,,"Strong Arms"
buffStrongGutFMDesc,buffs,Buff,,,"A healthy gut means more resistance to diseases from eating and drinking. Can also help with curing dysentery too!"
buffStrongGutFMName,buffs,Buff,,,"Strong Gut"
buffStrongJointsFMDesc,buffs,Buff,,,"You can jump a little higher and won't use so much stamina doing so."
buffStrongJointsFMName,buffs,Buff,,,"Strong Joints"
buffThrowingArmFMDesc,buffs,Buff,,,"You can throw spears a little faster."
buffThrowingArmFMName,buffs,Buff,,,"Throwing Arm"
buffTomatoJuiceFMDesc,buffs,Buff,,,"Your physical damage resistance is increased. You feel less pain from all attacks."
buffTomatoJuiceFMName,buffs,Buff,,,"Red Resistance"
buffVigorousPowerFMDesc,buffs,Buff,,,"Your power attacks no longer halt your stamina regeneration - smash away!"
buffVigorousPowerFMName,buffs,Buff,,,"Vigorous Power"
buffWalkingBatteryFMDesc,buffs,Buff,,,"Charge those batons up faster and deal more damage using them for a short time. Shooting a hand-held junk turret has a chance to zap enemies too!"
buffWalkingBatteryFMName,buffs,Buff,,,"The Walking Battery"
cntAquariumEmptyFM,blocks,Block,,,"Empty Aquarium"
cntAquariumEmptyFMDesc,blocks,Block,,,"An empty aquarium. Hold a fishing net and right click to empty a bag of fish from your inventory into the aquarium."
cntAquariumGrowingFM,blocks,Block,,,"Aquarium"
cntAquariumHarvestableFM,blocks,Block,,,"Aquarium (Ready)"
cntBeehiveFM,blocks,Block,,,"Empty Beehive"
cntBeehiveFMDesc,blocks,Block,"Beehives Will produce honey over time.\n[0099ff]REQUIREMENTS\n - 1 Quenn Bee\n - 1 or more Worker Bees.\n[00ff00]NOTE: Queen bees alone in the hive have a higher chance to die out.\n[ff0000]WARNING: Never insert more than 1 queen otherwise they will fight to the death and you could lose queens![ffffff]"
cntBeehiveGrowing2FM,blocks,Block,,,"Beehive"
cntBeehiveGrowing3FM,blocks,Block,,,"Beehive"
cntBeehiveGrowingFM,blocks,Block,,,"Beehive"
cntBeehiveHarvestableFM,blocks,Block,,,"Beehive (Ready)"
cntGroceryBagFM,blocks,Block,,,"Bag of Groceries"
cntGroceryBagFMDesc,blocks,Block,,,"A bag of groceries that is sure to contain some good food items. Place on the ground and open up to see what's inside!"
cntGroceryBagPlaceableFM,blocks,Block,,,"Bag of Groceries"
drinkCartonMilkFM,items,Food,,,"Milk"
drinkCartonMilkFMDesc,items,Food,,,"Milk is good for strong bones! Drinking some will give you a slight stamina regen boost over time."
drinkCartonSoyaMilkFM,items,Food,,,"Soya Milk"
drinkCartonSoyaMilkFMDesc,items,Food,,,"Whilst not as quenching as regular milk, soya milk is good for your body and will give you a small health regen boost over time."
drinkJarAloeJuiceFM,items,Food,,,"Aloe Vera Juice"
drinkJarAloeJuiceFMDesc,items,Food,,,"Aloe vera juice can be drunk if you are really short on fluid, but it is advisable to not drink too much..."
drinkJarAppleCiderFM,items,Food,,,"Apple Cider"
drinkJarAppleCiderFMDesc,items,Food,,,"Apple cider warms the belly and makes you feel a little stronger. Your melee attacks do more damage."
drinkJarAppleCiderFMSchematic,items,Food,,,"Apple Cider Recipe"
drinkJarAppleJuiceFM,items,Food,,,"Apple Juice"
drinkJarAppleJuiceFMDesc,items,Food,,,"Apple juice is great when you need to heat up your insides and can help you stay warm in cool weather."
drinkJarBloodyMaryFM,items,Food,,,"Bloody Mary"
drinkJarBloodyMaryFMDesc,items,Food,,,"It tastes bloody awful, but helps you resist damage and slows blood flow, preventing bleed damage."
drinkJarBloodyMaryFMSchematic,items,Food,,,"Bloody Mary Recipe"
drinkJarBlueberryJuiceFM,items,Food,,,"Blueberry Juice"
drinkJarBlueberryJuiceFMDesc,items,Food,,,"Blueberry juice is highly refreshing and can help you out in hot weather."
drinkJarBlueberryWineFM,items,Food,,,"Blueberry Wine"
drinkJarBlueberryWineFMDesc,items,Food,,,"Blueberry wine can give you a speed boost."
drinkJarBlueberryWineFMSchematic,items,Food,,,"Blueberry Wine Recipe"
drinkJarPotatoJuiceFM,items,Food,,,"Potato Juice"
drinkJarPotatoJuiceFMDesc,items,Food,,,"Potato juice is not as tasty or hydrating as other beverages, but it is good for the innards."
drinkJarPricklyPearReserveFM,items,Food,,,"Prickly Pear Reserve"
drinkJarPricklyPearReserveFMDesc,items,Food,,,"Woah, this stuff smells... TERRIBE..."
drinkJarPricklyPearReserveFMSchematic,items,Food,,,"Prickly Pear Reserve Recipe"
drinkJarTomatoJuiceFM,items,Food,,,"Tomato Juice"
drinkJarTomatoJuiceFMDesc,items,Food,,,"Tomato juice not only helps hydrate you, it also lessens the effects of physical damage for a while."
drinkJarVegetableOilFM,items,Food,,,"Vegetable Oil"
drinkJarVegetableOilFMDesc,items,Food,,,"An oil used in cooking. You can drink it in an emergency but it's not good for you on its own..."
drinkJarVegetableOilFMSchematic,items,Food,,,"Vegetable Oil Recipe"
foodAnchovyPizzaFM,items,Food,,,"Anchovy Pizza"
foodAnchovyPizzaFMDesc,items,Food,,,"Anchovies on a pizza may seem like blasphemy, but it is highly nutritious even if a little salty."
foodAnchovyPizzaFMSchematic,items,Food,,,"Anchovy Pizza Recipe"
foodAnimalGutsFM,items,Food,,,"Animal Guts"
foodAnimalGutsFMDesc,items,Food,,,"Animal guts can be used to make casings for sausages. They can be eaten raw but the bacteria in those things... EUgh, just don't."
foodApplePieFM,items,Food,,,"Apple Pie"
foodApplePieFMDesc,items,Food,,,"This one is the apple of my pie - I mean eye..."
foodApplePieFMSchematic,items,Food,,,"Apple Pie Recipe"
foodBaconButtyFM,items,Food,,,"Bacon Butty"
