Key,File,Type,UsedInMainMenu,NoTranslate,english
fermentingBarrelFM,Blocks,Transformer,,,"Fermenting Barrel"
fermentingBarrelFMDesc,Blocks,Transformer,,,"This barrel can store liquids and turn them into alcoholic beverages over time."
cntGraniteSinkWorkingFM,Blocks,Transformer,,,"Granite Sink (Working)"
cntGraniteSinkWorkingFMDesc,Blocks,Transformer,,,"This sink can be used to fill up your jars with unfiltered water. Just insert your empty jars, and they will fill up over time."
cntGraniteSinkWorkingFilteredFM,Blocks,Transformer,,,"Granite Sink (Working, Filtered)"
cntGraniteSinkWorkingFilteredFMDesc,Blocks,Transformer,,,"This sink can be used to fill up your jars with clean water. Just insert your empty jars, and they will fill up over time."
cntCabinetOldSinkWorkingFM,Blocks,Transformer,,,"Old Sink (Working)"
cntCabinetOldSinkWorkingFMDesc,Blocks,Transformer,,,"This sink can be used to fill up your jars with unfiltered water. Just insert your empty jars, and they will fill up over time."
cntCabinetOldSinkWorkingFilteredFM,Blocks,Transformer,,,"Old Sink (Working, Filtered)"
cntCabinetOldSinkWorkingFilteredFMDesc,Blocks,Transformer,,,"This sink can be used to fill up your jars with clean water. Just insert your empty jars, and they will fill up over time."

resourceSinkUpgradeKitFM,Items,Resources,,,"Sink Upgrade Kit"
resourceSinkUpgradeKitFMDesc,Items,Resources,,,"The sink upgrade kit can be used to allow any sink to fill jars with water. You can also add a filter afterwards for clean water. Use any upgrade tool to apply the upgrade kit."
resourceWaterFilterFM,Items,Resources,,,"Water Filter"
resourceWaterFilterFMDesc,Items,Resources,,,"You can use this to filter any boiled water into purified water. You can also use this to upgrade a working sink to give you filtered water. Use any upgrade tool to apply the filter."

resourceSinkUpgradeKitFMSchematic,Items,Resources,,,"Sink Upgrade Kit (Schematic)"

