Key,File,Type,UsedInMainMenu,NoTranslate,english
foodRawBearMeatFM,Items,resource,,,"Raw Bear Meat"
foodRawBoarMeatFM,Items,resource,,,"Raw Boar Meat"
foodRawChickenMeatFM,Items,resource,,,"Raw CHicken Meat"
foodRawCoyoteMeatFM,Items,resource,,,"Raw Coyote Meat"
foodRawMountainLionMeatFM,Items,resource,,,"Raw Mountain Lion Meat"
foodRawRabbitMeatFM,Items,resource,,,"Raw Rabbit Meat"
foodRawSnakeMeatFM,Items,resource,,,"Raw Snake Meat"
foodRawVenisonMeatFM,Items,resource,,,"Raw Venison Meat"
foodRawWolfMeatFM,Items,resource,,,"Raw Wolf Meat"
foodCharredBearMeatFM,Items,resource,,,"Charred Bear Meat"
foodCharredBoarMeatFM,Items,resource,,,"Charred Boar Meat"
foodCharredChickenMeatFM,Items,resource,,,"Charred CHicken Meat"
foodCharredCoyoteMeatFM,Items,resource,,,"Charred Coyote Meat"
foodCharredMountainLionMeatFM,Items,resource,,,"Charred Mountain Lion Meat"
foodCharredRabbitMeatFM,Items,resource,,,"Charred Rabbit Meat"
foodCharredSnakeMeatFM,Items,resource,,,"Charred Snake Meat"
foodCharredVenisonMeatFM,Items,resource,,,"Charred Venison Meat"
foodCharredWolfMeatFM,Items,resource,,,"Charred Wolf Meat"
foodBoiledBearMeatFM,Items,resource,,,"Boiled Bear Meat"
foodBoiledBoarMeatFM,Items,resource,,,"Boiled Boar Meat"
foodBoiledChickenMeatFM,Items,resource,,,"Boiled CHicken Meat"
foodBoiledCoyoteMeatFM,Items,resource,,,"Boiled Coyote Meat"
foodBoiledMountainLionMeatFM,Items,resource,,,"Boiled Mountain Lion Meat"
foodBoiledRabbitMeatFM,Items,resource,,,"Boiled Rabbit Meat"
foodBoiledSnakeMeatFM,Items,resource,,,"Boiled Snake Meat"
foodBoiledVenisonMeatFM,Items,resource,,,"Boiled Venison Meat"
foodBoiledWolfMeatFM,Items,resource,,,"Boiled Wolf Meat"
foodGrilledBearMeatFM,Items,resource,,,"Grilled Bear Meat"
foodGrilledBoarMeatFM,Items,resource,,,"Grilled Boar Meat"
foodGrilledChickenMeatFM,Items,resource,,,"Grilled CHicken Meat"
foodGrilledCoyoteMeatFM,Items,resource,,,"Grilled Coyote Meat"
foodGrilledMountainLionMeatFM,Items,resource,,,"Grilled Mountain Lion Meat"
foodGrilledRabbitMeatFM,Items,resource,,,"Grilled Rabbit Meat"
foodGrilledSnakeMeatFM,Items,resource,,,"Grilled Snake Meat"
foodGrilledVenisonMeatFM,Items,resource,,,"Grilled Venison Meat"
foodGrilledWolfMeatFM,Items,resource,,,"Grilled Wolf Meat"
foodRawMeatGroupDesc,Items,resource,,,"If you want to do it for science, eat it raw. But if you want to survive longer, cook it first..."
foodCharredMeatGroupDesc,Items,resource,,,"If you don't have the cullinary tools required, chucking some meat on a campfire is your best bet. It may not cook evenly, but it's better than eating it raw."
foodBoiledMeatGroupDesc,Items,resource,,,"Boiling meat is a better alternative than grilling if you want to preserve the hydration, though it tastes a little off compared to grilling."
foodGrilledMeatGroupDesc,Items,resource,,,"The best way to prepare meat when no other ingredients are available."
