Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
cntWeaponsBagSmallLoot,blocks,Container,New,"Weapons Bag (Small)",,,,,
cntWeaponsBagLargeLoot,blocks,Container,New,"Weapons Bag (Large)",,,,,
cntLootChestHeroLoot,blocks,Container,New,"Reinforced Chest",,,,,
cntLootChestHeroInsecureLoot,blocks,Container,New,"Reinforced Chest (Insecure)",,,,,
cntShippingCrateShamwayLoot,blocks,Container,New,"Shamway Sealed Shipping Crate",,,,,
cntShippingCrateLabEquipmentLoot,blocks,Container,New,"Lab Equipment Sealed Shipping Crate",,,,,
cntShippingCrateBookstoreLoot,blocks,Container,New,"Bookstore Sealed Shipping Crate",,,,,
cntShippingCrateCarPartsLoot,blocks,Container,New,"Pass'n'Gas Sealed Shipping Crate",,,,,
cntShippingCrateShotgunMessiahLoot,blocks,Container,New,"Shotgun Messiah Sealed Shipping Crate",,,,,
cntShippingCrateWorkingStiffsLoot,blocks,Container,New,"Working Stiffs Sealed Shipping Crate",,,,,
cntAmmoPileSmallLoot,blocks,Container,New,"Ammo Pile (Small)",,,,,
cntAmmoPileMediumLoot,blocks,Container,New,"Ammo Pile (Medium)",,,,,
cntAmmoPileLargeLoot,blocks,Container,New,"Ammo Pile (Large)",,,,,
cntMedicalPileSmallLoot,blocks,Container,New,"Medical Pile (Small)",,,,,
cntMedicalPileMediumLoot,blocks,Container,New,"Medical Pile (Medium)",,,,,
cntMedicalPileLargeLoot,blocks,Container,New,"Medical Pile (Large)",,,,,
cntFoodPileSmallLoot,blocks,Container,New,"Food Pile (Small)",,,,,
cntFoodPileMediumLoot,blocks,Container,New,"Food Pile (Medium)",,,,,
cntFoodPileLargeLoot,blocks,Container,New,"Food Pile (Large)",,,,,
cntMedicLootPileALoot,blocks,Container,New,"Medical Supplies",,,,,
cntMedicLootPileBLoot,blocks,Container,New,"Medical Supplies",,,,,
storeShelfGeneric1FM,blocks,Container,New,"Generic Store Shelves",,,,,
storeShelfGeneric2FM,blocks,Container,New,"Generic Store Shelves",,,,,
storeShelfGeneric3FM,blocks,Container,New,"Generic Store Shelves",,,,,
storeShelfFood1FM,blocks,Container,New,"Food Store Shelves",,,,,
storeShelfFood2FM,blocks,Container,New,"Food Store Shelves",,,,,
storeShelfToolsFM,blocks,Container,New,"Tool Store Shelves",,,,,
storeShelfMedicalFM,blocks,Container,New,"Medical Store Shelves",,,,,
